Mot;Abréviation;Définition
NEUILLES,;s., f., plur., Gloss.;f.  plur.  Balayures  d'une  maison,  immondices.  ANevers,  suivant  le  Gloss.  du  Centre,  «  nures  »  a  la  même  signification.  En  Flandre  et  ailleurs  on  donnait  le  nom  de  «  nieulles,  neules  »,  à  des  pains  à  cacheter  de  toute  couleur  que  l'on  jetait  au  peuple  dans  certains  jours  de  fête.  A  la  solennité  de  la  Pentecôte,  dit  M.  Nisard  dans'ses  Curiosités  de  l'étijm.  fr.,  -  p.  303,  -  on  jetait  même  dans  les  églises  des  pâtisseries  mêlées  à  des  feuilles  de  chêne,  des  fleurs  et  des  étoupes  enflam-  mées. Au  Gloria  in  excelsis  on  lâchait  des  oiseaux  ayant  des  «  nieules  »  attachées  aux  pattes.  Du-  cange  (à  Nebnla)  cite  plusieurs  textes  qui  font  mention  .de  ces  usages.  Faut-il  rattacher  notre  mot  à  ce  souvenir  du  moyen  âge  en  l'interprétant  comme  choses  qui  voltigent  dans  l'air,  et  en  le  dérivant  du  1.  nebula  qui  l'enfermait  l'idée  d'objet  sans  valeur  puisque  nebido  se  disait  d'un  homme  de  rien,  et  en  l'assimilant  à  l'ital.  nubila,  nugola,  nuvola,  petit  nuage  ?
NEDILLON,;s., m.;s.  m.  Amande  de  la  noisette  et  des
NEURE,;V., n.;V.  n.  Nuire,  être  préjudiciable  :  «  c'  qui  va  m'  neure  »,  ceci  va  me  faire  du  tort.
NEURIN,;s., m.;"s.  m.  Bétail  d'élève.  Une  ferme  pros-  père lorsqu'elle  a  beaucoup  de  «  neurin  »  ;  voilà  un  brave  «  neurin.  »  On  dit  «  un  ché  d'  neurin  »  pour  une  tête  de  bétail.  Le  troupeau  de  bêtes  à  cornes  est  indifféremment  «  1'  bestiau  »  ou  «  1'  neu-  rin. »  Dans  Fane,  langue  norrin,  nourrin  :"
NEURSON,;s., m., fr.; m.  Nourrisson,  par  syncope  de  neureçon.  Les  «  neursons  »  d'un  domaine  sont  les  animaux  de  toute  espèce  qu'on  élève,  aussi  bien  le  bétail  à  cornes  que  les  moutons,  les  porcs  et  les  volailles.  On  restreint  quelquefois  le  sens  du  mot  de  manière  à  ce  qu'il  ne  désigne  plus  que  les  cochons  ou  «  habillés  de  soie.  »  En  général  dans  le  vi.  fr.  nourreçon,  nourriçon,  se  disait  aussi  de  toute  bête  nourrie  par  un  cultivateur  :
(MOUSKES,;V.;   V.    )i5.)
(IB.;V.; V.  2741,  14914.)
NIAQUE,;s., f., fr.; f.  Naque,  morve,  humeur  qui  sort  des  narines.  En  vi.  fr.  nasque,  morve,  nez.  Dans  plusieurs  patois  «  naque  »  signifie  aussi  nez,  odo-  rat. Le  verbe  renasquer,  tiré  du  primitif,  figure  assez  drôlement  dans  une  lettre  de  Ch.  de  Sévigné,  -  IV,  p.  345  -  :
NIAQUOU,;adj.; OUSE,  adj.  Morveux,  celui  qui  a  de  ia  morve  au  nez.  Se  dit  d'un  enfant.  En  Bour-  gogne, «  naiquous  »,  petit  homme  prétentieux,  comme  en  Forez  «  naquerot.  »  Les  jeunes  garçons  jadis  attachés  au  service  des  jeux  de  paume  étaient  appelés  nacquets  ou  naquets.  S'il  faut  en  croire  les  vers  ironiques  de  Marot,  ces  jeunes  gens  appar-  tenaient aux  dernières  classes  de  la  société  :  Lors  les  seigneurs  estoient  petits  Nacquets.  D'aulx  et  oignons  se  faisoient  les  bancquets.
NIAR,;s., m.;s.  m.  Nerf.  A  Genève  «  s'éniarler  »  si-  gnifie s'éreinter  pour  s'énerver.  Dans  la  région  «  nierf,  niarf  »  =  nerf.
NIAU,;s., m., fr.; m.  Nichet,  œuf  qu'on  laisse  dans  le  nid  pour  attirer  les  poules.  En  wallon  (Mons),  «  niai.  »  Un  faucon  «  niais  »,  dans  le  langage  des  fauconniers,  était  l'oiseau  pris  au  nid,  non  déve-  loppé encore.  Niau  comme  niais  se  l'attache  à  nidus,  nid,  que  le  vi.  fr.  a  longtemps  écrit  ni.
H.;Norm.;" Maine  :  «  niau  »  ;  —  Poitou  :  «  nio,  niou,  niouc  »  ;  —  Norm.  «  niau,  niet,  nieu  »  ;  —  Forez  :  «  niât,  niron  »  ;  —  Auvergne  :  «  nio,  gniau  »  ;  —  Suisse  rom.  «  nio,  gniô  »,  d'où  le  verbe  «  de-  niôla  »,  dénicher  ;  —  Provence  :  «  niau.  »"
NIBULEU,;adj.; EUSE,  adj.  Nébuleux,  trouble  :  du  vin  «  nibuleu  »,  de  l'eau  «  nibuleuse.  »
NICESSAIRE,;adj.; adj.  Nécessaire  :  «  a  n'é  pà  son  nicessaire  »,  il  manque  de  tout.
NICHE,;s., f., Norm., Pic.;"s.  f.  Œuf  que  les  mouches  dé-  posent sur  la  viande  et  qui  n'est  pas  encore  éclos.  En  Norm.  «  nichet,  nicheu,  nichot  »  =  mauvais  œuf  ;  —  Pic.  «  nichouère  »,  œuf  couvain  des  pou-  laillers. Le  prov.  a  les  deux  formes  nichar  et  ni-  sar  pour  nicher  ;  nisada,  nichée.  (Voy.  Niau.)"
NICOT,;s., m., fr.; m.  Simple,  niais,  nigaud,  maladroit.  Ce  mot  est  quelquef.  une  abréviation  du  nom  de  baptême  Dominique.  On  prononce  alors  IM'nicot.  Nicot  est  l'augmentatif  du  vi.  fr.  nice  qui  signi-  fiait également  niais,  ignorant,  sans  expérience,  offrant  à  peu  près  le  même  sens  que  novice.  L'é-  quivalent en  Berry  est  «  nicon.  »
NIÉPE,;s., f.;s.  f.  Guêpe.  Env.  d'Avallon.  En  Nor-  mandie, «  vêpres,  vrêpres  »,  guêpes.
NIGUIAIRE,;adj., rad.;adj.  Se  dit  d'une  vache  lorsqu'on  l'a  séparée  de  son  veau  pour  la  traire  :  vache  «  niguiaire  »,  vache  dont  le  veau  est  éloigne  ou  sevré.  Le  rad.  niguc  =  nice.  (Voy.  Niquedouille.)
NIOCHE,;s., m., ital.;" m.  Nigaud,  niais,  nul.  S'emploie  adject.  :  avoir  l'air  «  nioche.  »  En  wallon,  «  ni-  noche  »,  imbécile,  que  l'auteur  d'un  glossaire  de  cette  région  rattache  à  «  inochent  »  pour  innocent.  A  Genève  :  «  niôque  »,  femme  ou  fille  bornée.  Forez,  Savoie  :  «  nioche  »  ;  —  Berry  :  «  nioche  »,  lourdaud  ;  —  Jura  :  «  niauche  »  ;  —  Suisse  rom.  «  nioka  »,  personne  stupide  ;  «  niokerie  »,  niai-  serie ;  —  ital.  gnocco,  sot,  niais.  (Voyez  Nicot,  Niquedouille.)"
NIPE,;s., f., Morv., n., fr.; Portion  d'une  chose  comestible,  de  galette,  de  pain  :  il  a  emporté  une  grosse  «  nipe  »  du  gâteau.  Morv.  n.  En  vi.  fr.  nippe  a  eu  quelquef.
NIPIEN,;s., m.;s.  m.  Vaurien, mauvaissujet. Notre  mot  «  gueurnipille  «,  avec  la  même  signifie,  appliquée  aux  femmes,  renferme  peut-être  la  même  racine.
NIQUEDOUILLE;s., m., fr., Norm., fr., anc., fr., fr., fr., ital., Pic., fr., Voy.;"terme  existe  presque  partout.  Le  Dict.  de  la  langue  fr.  enregistre  niquedouille  pour  nigaud,  usité  en  Berry,  en  Norm.  et  en  Suisse.  Dans  l'Yonne  on  prononce  «  nicadouille  »  ;  —  Jura  :  «  nique-  douille,  niguedouille  »  ;  —  Flandre  :  «  nicdouille.  »  Il  est  probable  que  les  préfixes  nique  et  nigue  qui  se  montrent  dans  niquedouille  et  niguedouille,  représentent  le  vi.  fr.  nice.  La  première  variante  est  peut-être  une  anc.  forme  picarde.  Nigaud ,  que  Diez  suppose  être  d'origine  germ.,  nous  parait  un  augment.  de  nigue  pour  niche  ou  nice.  Dans  le  H.  Maine,  «  nige,  nigue,  nique  »,  sont  également  usités  pour  nigaud.  Le  fr.  nigaudement  est  à  la  lettre  le  vi.  fr.  nichement  ou  nicement.  Le  groupe  entier  des  mots  exprimant  la  naïveté  mêlée  de  sot-  tise se  rattacherait-il  comme  le  fr.  niais  au  1.  ni-  dus?En  ital.  nidiace  =  niais,  celui  qui  n'est  pas  encore  sorti  de  son  nid,  simple,  sot.  Nous  disons  dans  notre  patois  «  anicher  «,  pour  faire  des  niai-  series, jouer  avec  des  riens.  L'ancienne  langue  avait  niger  qui  en  Berry  signifie  être  au  nid,  pour  dire  des  niaiseries.  A  Liège  «  nyaie  »  =  ni-  chée. D'un  autre  côté,  Palsgrave,  -  p.  270,  -  tra-  iduit  l'anglais  syinple  body  par  niet.  L'anglais  moderne  nhiny  est  synon.  de  simpleton,  pour  niais.  En  Pic.  «  ninité  »  a  la  même  signifie,  et  s'emploie  comme  équivalent  de  niche.  Quant  au  l^ufTixe  douille  qui  complète  le  mot  niquedouille,  un  le  retrouve  probablement  dans  le  fr.  bredouille.  Voy.  Nicot,  Nioche.)"
NIQUOTE,;s., f., pop.;" f.  Nuque  :  «  lai  niquotte  »  du  cou.  Nique  et  nuque  semblent  être  identiques  et  appartenir  à  la  même  étymologie  (1).  En  allem.  genick  =  nuque  et  cou  ;  kopfnicken,  signe  de  tête;  nicken,  faire  un  signe  de  tête,  c'est-à-dire  le  signe  qui  est  sous-entendu  dans  la  locution  pop.  :  faire  la  nique  ou  le  niquet."
NIV'LEMENT,;s., m.;s.  m.  Nivellement,  aplanisse-  ment  :  «  i  niv'l,  teu  niv'l,  a  niv'l  »,  pour  je  ni-  velle, etc.  «  Nivel  »  =  niveau  appartient  au  rom.  prov.  et  à  plusieurs  patois  :  «  a  nivel  de  l'ayga  »,  au  niveau  de  l'eau.  (Raynouard,  Livell.)  Du  latin  libella,  niveau.
NÎYER,;V., a.;V.  a.  Noyer,  plonger  dans  l'eau.  Poi-  tou :  «  niger.  »
NIZE,;s., f.;s.  f.  Œuf  que  déposent  les  insectes.  En  Champ,  a  niser  »,  faire  son  nid.  (Voy.  Niche.)
NO,;port.;" partie,  négat.  Non.  On  prononce  en  beau-  coup de  lieux  «  anno  »,  formé  de  l'interj.  ah  et  de  la  négation.  L'o  est  bref  et  d'une  tenue  quelque  peu  prolongée  no-o.  Rom.  prov.,  ilal.,  esp.,  no;  ■ —  port.  ?)aô.  (Voy  Anno.)"
NO,;adj., Morv., n.; Méchant,  disposé  à  faire  mal,  à  nuire.  Morv.  n.  n.-o.
NOGLIGENCE.;s., f.;s.  f.  Négligence.
NOGUEILLON,;s., m.;s.  m.  Toute  chose  noueuse,  ra-  boteuse, qui  offre  des  aspérités.
N0C4UEILL0U,;adj.; OUSE,  adj.  Noueux,  raboteux.
NOIGE,;s., f., Morv., n.;s.  f.  Neige.  Morv.  n.  «  noize.  »  L'i  du  1.  nix  se  change  en  oi  dans  les  plus  an-  ciens textes  :
NOMBEILLOT,;s., m., Morv., n., fr.; Nombril. Morv.  n.  Avons-  nous  ici   un  diminutif  du  vi.  fr.  nomble,  dérivé
NON,;pron.; pron.  pers.  ind.  On  :  «  non  dit,  non  chante,  non  se  dispute  »,  pour  on  dit,  on  chante,  on  se  dispute.  (Voy.  Nen.)
NONCHEILLANCE,;s., f.;"s.  f.  Nonchalance,  insou-  ciance, incurie.  Dans  Palsgr.,  -  p.  247  -  :  Non-  chaillance,  négligence.  Le  mot  s'écrivait  souvent  non-chalance.  Dans  le  mystère  intitulé  :  la  Ven-  gence  nostre  Seigneur  Jesuchrist,  Pilate  racon-  tant ses  malheurs  dit  ;"
NONSEILLETÉ,;s., f.;s.  f.  Nonchalance,  négligence,  incurie.
NONSEILLOU,;adj., Morv., n., s.;adj.  Nonchalant,  pares-  seux. Morv.  n.  Nonseillou  =  noncheillou  par  le  changement  ordinaire  de  ch  en  s.
NONTRE,;adj.; adj.  poss.  des  deux  genres.  Notre.  On  prononce  «  nontre  »  lorsque  l'adj.  possessif  n'est  pas  accompagné  du  substantif.  On  dit  :  «  not'  fonne  »,  et  «  ç'  p'tiô  ô  1'  nontre  »,  notre  femme,  cet  enfant  est  le  nôtre.
NOS,;pron.; pron.  de  la  première  pers.  pi.  des  deux  genres  sujet  et  rég.  Nous  :  «  ç'iai  n'ô  pâ  por  nos.  »
NOT,;adj.; NOTTE,  adj.  Net,  propre,  nettoyé,  lavé.  Dans  le  masc.  «  not  »,  le  t  ne  se  prononce  pas.
NOTÉYAIGE,;s., m.;s.  m.  Nettoyage,  action  de  rendre  propre,  net.
NOTÉYER,;V., a.;V.  a.  Nettoyer.  (Voy.  Nétéier.]
NOU,;s., m.;s.  m.  Nœud  avec  ses  diverses  signifie.  Li  uns  des  ars  (arcs)  si  fu  d'un  bois  Dont  li  fruit  iert  mal  savorés,  Tous  plains  de  Nouz  et  bocerés.
NOUE,;s., m.;s.  m.  Noyer,  arbre  qui  produit  les  noix.  On  prononçait  «  nouyer  »  en  Bourgogne  :
NOUEE,;s., f.;s.  f.  Noisette.  On  dit  noix.
NOUER,;V., n., Morv., n., fr.;" Nager,  aller  dans  l'eau  en  na-  geant. Morv.  n.  n.-o.  En  vi.  fr.  no,  nou  =  nage;  noer,  nouer  =  nager  :"
NOUER',;adj.; adj.  Noir  :  «  eun  hon-m',  eune  fon-n'  nouer'.»  «  Nouérot,  »  diminutif.
NOUERCI,;V., a.;V.  a.  Noircir,  rendre  noir.
NOUET,;s., m.;NOET,  s.  m.  Petit  paquet,  nœud  dans  j  un  mouchoir,  un  drap,  chose  nouée  en  général.  !  Le  Registre  criminel  du  Chatelet  fait  souvent  I  mention  des  noëts,  noës,  petits  sachets  remplis  :  de  poudre  dont  les  empoisonneurs  se  servaient  1  quelquefois  :
NOUILLOTTE,;s., f., Morv., n.;s.  f.  Noisette.  La  saison  des  «  nouillottes  »  est  une  des  époques  de  l'année.  Morv.  n.  «  noujotte.  »
NOUJÉ,;s., m., Morv., n.;"m.  Noyer.  Morv.  n.  n.-o.  En  Poitou  «  nougé  »,  noyer  et  noix;  «  nougerie  »,  lieu  planté  de  noyers  ;  —  Berry  :  «  nouger  »  ;  —  Limousin  :  «  noujau  »,  noix,  amande."
NOUJETIEL,;s., m., Morv., n.; m.  Noisetier.   Morv.   n.  n.-o.
NOUNOU,;s., f.;s.  f.  Nourrice  dans  le  langage  enfan-  tin :  «  cune  brave  nounou  »,  une  bonne  nourrice.
NOUERI.;s., m., Morv., b.;m.  Se  dit  surtout  des  herbages  qui  servent  à  la  nourriture  des  animaux  :  herbes  des  prairies  en  général.  11  y  a  beaucoup  de  «  nourri  »  dans  ce  domaine,  c'est-à-dire  beaucoup  de  four-  rages. Sans  «  nourri  »  point  de  bétail,  sans  bétail  point  d'argent.  Cette  pâture  est  d'un  bon  «  nour-  ri. »  Le  mot  paraît  être  récent  dans  le  Morv.  b.  Du  L  nutrimen,  nourriture.  (Voy.  Neurin.)
NOUTE,;adj., plur., Norm.;" poss.  Notre  :  «  voiqui  noute  feille,  noutc  genre  ou  zenre  »,  voici  notre  fille,  notre  gendre,  etc.  Suisse  rom.  «  noutro,  noutra;  »  au  plur.  «  noutre.  »  Norm.  «  noute.  »"
NOVELLE,;s., f., fr., ital., sing., plur.;Nouvelle,  événement.  On  donne  aussi  ce  nom  aux  journaux  :  avcz-vous  lu  les  «  novclles.  »  Le  facteur  rural  qui  parcourt  les  campagnes  «  pourte  les  novelles.  »  La  forme  fr.  nouvelle  a  prévalu  dans  le  voisinage  des  villes.  En  ital.  novella  qui  signifie  au  sing.  conte,  his-  toriette, prend  au  plur.  le  sens  de  nouvelles,  avis  :
NU,;adj., s.;adj.  et  s.  Personne,  nul,  aucun,  pas  un  «  i  n'é  nu  veu  ilai  »,  je  n'ai  vu  personne  là.  Car  la  letre  néis  tesmoigne
NUÉE,;s., f., Morv., n.;s.  f.  Nuit  :  «  lai  nuée  o  chouée  »,  la  nuit  est  tombée.  Morv.  n.
NUÏEU,;loc.; loc.  Nul  lieu,  nulle  part,  en  aucun  en-  droit. On  ne  le  trouve  «  nuieu  »,  on  ne  le  trouve  nulle  part.  Dans  le  Lai  de  l'Ombre,  nuliu  pour  nulle  part  :
NUIZAULE,;adj.; NÛYAULE.  adj.  Nuisible,  qui  peut  nuire  ou  gêner  :  Li  sapience  del  munde  est  Nuisaule  et  ne  mies  pai-
NUN,;adj., s.;adj.  et  s.  Personne,  nul,  aucun  :  «  i  n'y
(G.;V.; de  Vi.  V.  2012.)  N'en  eschapoit  Nuns  de  meire  vivant  Fors  Eneas  ke  Deus  par  amoit  tant.
[B'M.;s.; de  l'Èc.  des  Ch.  vi,  s.  t.  4,  p  158.)
NURI,;V., a., Morv., n., c.-à-d.; Nourrir,  élever.  Quelques  parties  du  Morv.  n.  prononcent  «  neuri  »  d'oîi  «  neurin  »,  bétail  d'élève.  S'emploie  fréquemment  dans  le  I  sens  de  soigner,  élever.  On  se  souvient  toujours  j  du  pays  où  l'on  a  été  «  nùri  »,  c.-à-d.  où  l'on  a  I  résidé  pendant  son  enfance.  Quenes  de  Béthune  se  I  servait  du  mot  avec  cette  sia-nific.  dans  ses  fameux  ,  vers  SI  souvent  cites  à  propos  de  la  question  des  I  dialectes  :
NURICE,;f.; NEURICE,  NORICE,s.  f.  On  trouve  les  trois  formes  suivant  les  localités.  Une  quatrième,  la  forme  fi'ançaise,  prévaut  aujourd'hui  partout.  Coquillart  dit  quelque  part  dans  ses  Droits  nou-  veaux :
NURITEURE,;s., f., c.-à-d.; f.  Nourriture.  S'emploie  parti-  culièrement pour  exprimer  la  durée  d'un  allaite-  ment. Nos  nourrices  font  une  ou  plusieurs  «  nuri-  teures  »  à  Paris  dans  leur  jeunesse.  C'est  une  profession  qui  en  enrichit  quelques-unes  et  qui  en  démoralise  malheureusement  un  grand  nombre.  Il  y  a  la  nourriture  sur  lieu,  c.-à-d.  chez  autrui,  et  la  nourriture  au  pays.  Cette  dernière  est  plus  favorable  aux  bonnes  moeurs,  mais  elle  est  beau-  coup moins  lucrative.
Ô,;Pic., a.;"3""""  pers.  de  l'indic.  du  verbe  être.  Est  :  «  al  ô  mailaide  »,  il  est  malade.  En  Bourg.,  a  :  «  el  a  mailaide  »  ;  —  en  Forez  :  •<  i.  ei  »  ;  —  Pic.  «  il  0  »,  il  a."
OBLI,;s., m.;s.  m.  Oubli  :  «  al  é  mettu  ç'iai  en  obli  »,  il  a  oublié  cela.
OBLIANCE,;s., f.;s.  f.  Oubli,  défaillance  de  la  mé-  moire. Ce  joli  mot  a  si  fort  vieilli  qu'il  a  cessé  d'être  français.  Il  faut  le  regretter,  comme  l'adj.  obliable  qu'aucun  autre  ne  remplace.  Notre  langue  moderne  s'appauvrit  ainsi  à  plaisir.
OBLIER,;a.; OBÏER,  v.  a.  Oublier,  mettre  en  ou-  bli :  «  nu  n'é  jaimâ  oblié  ou  obié  d'  mûri  »,  nul  n'a  jamais  oublié  de  mourir  :
OCLE,;s., m.;s.  m.  Cadeau  de  noces,  douaire.
ODIOTTE,;s., f.;s.  f.  Envie,  jalousie.  Une  femme  vantant  son  bon  cœur  disait  :  «  oh  moue,  1  n'  vis  pâ  d'odiotte  »,  oh  !  moi,  je  ne  vis  pas  de  jalousie.  Le  bas  1.  avait  odiatio  pour  odium.
ŒU.;s., m., Morv., n.;m.  Œuf  :  a  eun  œu,  dé-z-œus.  »  Le  Morv.  n.  dit  au  pluriel  avec  l'art.  :  «  das  reus  »,  par  le  changement  dans  la  liaison  de  l's  en  r.  «  DA-r-eus  »  pour  «  dâ-.s-eus.  »
ŒUVRE,;s., f.;s.  f.  Filasse  de  chanvre.  La  plupart  de  nos  baux,  parmi  les  réserves  en  nature,  com-  prennent une  certaine  quantité  d'œuvre  de  femelle  de  chanvre,  l'écorce  du  chanvre  qui  ne  porte  pas  graine ,  de  celui  qu'on  nomme  inexactement  la  femelle,  étant  considérée  comme  produisant  la  meilleure  filasse.  Œuvre  signifie  ouvrage,  du  1.  opéra,  comme  on  le  voit  dans  la  locution  qui  s'ap-  plique à  un  individu  chargé  de  besogne  :  «  il  a  de  l'œuvre  dans  sa  quenouille.  »  Parlant  des  femmes  qui  se  coiffaient  d'une  manière  bizarre,  un  auteur  du  XIIP  siècle  s'écrie  :
OFEURLINGN',;s., m., Morv., n.;m.  Orphelin,  par  metathèse  :  «  ain  ofeurlingn'  d'  pée  é  d'  méo  »,  un  orphelin  de  père  et  de  mère.  Morv.  n.
OGUIGNÂ.;s., m.;s.  m.  Ouvrier  qui  travaille  lente-  ment, qui  emploie  mal  son  temps,  qui  muse,  (^'oy.  Ogiiigner.)
OGUIGNER,;V., a., fr.; a.  Travailler  avec  lenteur,  en  musant.  Le  vi.  fr.  guigner  signifie  regarder  de  côté  et  d'autres.  Notre  verbe  n'a  probablement  pas  d'autre  sens  que  celui  de  regarder  en  l'air,  de  flâner  des  yeux.  Le  préfixe  o  est  pour  e  qui  repré-  sente le  1.  ex.
OING,;s., m., Gloss.; m.  Graisse  de  porc  que  l'on  conserve  pour  s'en  servir  comme  d'un  onguent  contre  les  douleurs.  Le  beurre  de  mai  avait  la  même  vertu.  Au  bon  vieux  temps,  on  en  collait  un  morceau  à  la  principale  poutre  des  maisons.  Cela,  dit-on,  guérissait  le  bétail  de  certaines  maladies.  Nous  voyons  dans  le  Gloss.  du  Centre  que  la  même  coutume  existait  en  Berry.  Nous  y  trouvons  même  à  ce  sujet  un  renseignement  que  nous  nous  per-  mettons de  reproduire  au  profit  de  la  nouvelle  génération  :
OLNRE,;V., a., fr.; a.  Oindre,  se  servir  d'oing  ou  graisse    |  de  porc  et,  par  extension,  d'une  matière  grasse.  Le  g  étymol.   se  montre  dans  les  anciens  textes    |  mais  non  le  d  du  fr.  oindre,  lequel  n'est  pas  orga-   j  nique.
OJEDEU,;adv., Morv., n.; adv.  et  subs.  Aujourd'liui.  Morv.  n.  «  ozedeu,  azedeu.  »  La  substitution  or-  dinaire de  la  sifflante  z  à  la  lettre  j  nous  donne  à  peu  près  la  forme  «  hocedé  »  que  M.  Jaubert  :  1  enregistre  dans  son   glossaire   comme  usitée  en
OL,;pron., sing., Morv., n.;maso.  3'  pers.  du  sing.  II.  Morv.  n.  01  aipclé  l'ein  das  valots  et  ol  y  demandé  quoi  qu'y
